,Car Model,Efficiency (Wh/km),Range (km),Battery (kWh),Price (GBP),Availability
0,Tesla Model 3 RWD,133 Wh/km,450 km,60.0 kWh,"£37,990",Available
1,MG MG4 Electric 64 kWh,171 Wh/km,360 km,61.7 kWh,"£29,745",Discontinued
2,BMW iX xDrive40,197 Wh/km,360 km,71.0 kWh,"£69,905",Discontinued
3,CUPRA Born 150 kW - 58 kWh,166 Wh/km,350 km,58.0 kWh,"£34,125",Discontinued
4,Fiat 500e Hatchback 42 kWh,159 Wh/km,235 km,37.3 kWh,"£20,245",Available
5,XPENG L03 RWD Long Range,165 Wh/km,420 km,69.5 kWh,N/A,Available
6,CUPRA Born 170 kW - 77 kWh,171 Wh/km,450 km,77.0 kWh,"£39,625",Discontinued
7,BMW i3 50 xDrive,152 Wh/km,715 km,108.7 kWh,"£53,005",Available
8,BMW iX3 50 xDrive,169 Wh/km,645 km,108.7 kWh,"£58,755",Available
9,Mercedes-Benz CLA 250+,145 Wh/km,585 km,85.0 kWh,"£43,250",Available
10,Kia EV3 Long Range,171 Wh/km,455 km,78.0 kWh,"£34,555",Available
11,Leapmotor B05 67.1 kWh,171 Wh/km,380 km,65.0 kWh,"£30,495",Available
12,Volkswagen ID. Polo 155 kW - 52 kWh,154 Wh/km,335 km,51.7 kWh,"£26,830",Available
13,Tesla Model 3 Premium RWD,136 Wh/km,580 km,79.0 kWh,"£44,990",Available
14,Hyundai IONIQ 3 61 kWh,155 Wh/km,375 km,58.0 kWh,"£25,745",Available
15,Tesla Model Y Long Range AWD,169 Wh/km,445 km,75.0 kWh,"£51,990",Discontinued
16,Skoda Epiq 55,162 Wh/km,320 km,51.7 kWh,"£26,200",Available
17,Volvo EX60 P12 AWD,184 Wh/km,610 km,112.0 kWh,"£64,860",Available
18,Tesla Model Y RWD,158 Wh/km,380 km,60.0 kWh,"£41,990",Discontinued
19,BYD ATTO 2 64.8 kWh,191 Wh/km,340 km,64.8 kWh,"£34,975",Available
20,Tesla Model Y Premium AWD,165 Wh/km,480 km,79.0 kWh,"£51,990",Discontinued
21,Mercedes-Benz GLC 400 4MATIC,176 Wh/km,535 km,94.0 kWh,"£60,350",Available
22,Kia Niro EV,168 Wh/km,385 km,64.8 kWh,"£37,295",Discontinued
23,BMW iX5 60 xDrive,210 Wh/km,670 km,141.0 kWh,"* £95,000",
